380.00,1,9,471.53,0.02
5774.00,6,41,2008.53,0.34
259.00,1,9,421.19,0.05
1121.00,2,16,775.03,0.08
298.00,1,8,437.89,0.01
438.00,1,10,497.45,0.07
322.00,1,9,498.77,0.04
475.00,1,10,498.53,0.07
595.00,1,13,656.55,0.06
582.00,2,12,618.78,0.08
324.00,1,9,463.44,0.04
434.00,1,10,547.14,0.05
286.00,1,8,423.01,0.05
410.00,1,10,502.20,0.04
466.00,1,10,510.73,0.08
363.00,1,9,479.88,0.03
368.00,1,10,522.17,0.08
381.00,1,9,465.54,0.04
323.00,1,8,430.39,0.01
721.00,2,14,690.34,0.31
361.00,1,9,460.04,0.03
783.00,2,14,710.00,0.06
583.00,1,10,511.88,0.02
426.00,1,10,506.01,0.04
369.00,1,9,455.78,0.03
797.00,2,14,720.00,0.16
263.00,1,8,421.87,0.02
654.00,2,13,633.99,0.11
476.00,1,9,493.80,0.03
425.00,1,10,507.86,0.02
359.00,1,9,486.74,0.03
536.00,1,10,506.85,0.03
446.00,1,10,487.76,0.10
984.00,2,16,803.03,0.09
1048.00,2,17,856.90,0.21
885.00,2,14,720.91,0.09
323.00,1,8,407.07,0.03
330.00,1,9,490.45,0.05
789.00,2,14,712.96,0.08
397.00,1,10,524.36,0.05
337.00,1,8,411.95,0.01
763.00,2,14,732.21,0.19
420.00,1,10,508.46,0.04
316.00,1,8,433.22,0.02
584.00,2,12,625.77,0.08
419.00,1,9,478.45,0.07
463.00,1,9,489.60,0.03
339.00,1,8,433.94,0.02
393.00,1,9,442.93,0.05
397.00,1,10,509.24,0.03
334.00,1,8,445.82,0.01
740.00,2,12,617.01,0.16
1087.00,2,15,702.04,0.37
2661.00,2,20,973.58,0.25
396.00,1,10,486.57,0.05
399.00,1,10,476.99,0.02
339.00,1,9,452.01,0.07
342.00,1,8,427.00,0.05
337.00,1,8,425.52,0.06
282.00,1,8,415.49,0.07
420.00,1,9,443.05,0.04
387.00,1,10,532.04,0.06
1019.00,2,16,840.25,0.15
384.00,1,10,489.42,0.04
446.00,1,10,484.01,0.03
356.00,1,9,445.31,0.03
422.00,1,9,467.34,0.02
448.00,1,9,467.67,0.10
412.00,1,10,522.12,0.09
466.00,1,10,515.65,0.03
327.00,1,9,479.69,0.04
411.00,1,10,502.44,0.03
364.00,1,9,451.36,0.03
INVALID
235.00,1,7,397.37,0.01
822.00,2,14,672.96,0.19
267.00,1,8,426.75,0.02
403.00,1,10,494.44,0.06
414.00,1,10,519.89,0.05
338.00,1,8,421.81,0.02
348.00,1,9,474.51,0.03
2941.00,2,22,1119.36,0.23
352.00,1,9,455.40,0.09
490.00,1,10,469.93,0.08
584.00,1,10,521.02,0.03
489.00,1,10,508.37,0.02
454.00,1,10,506.33,0.03
398.00,1,9,459.24,0.09
369.00,1,9,455.44,0.02
830.00,2,15,742.53,0.10
763.00,2,14,710.43,0.10
497.00,1,10,507.86,0.04
409.00,1,9,497.40,0.05
333.00,1,8,434.90,0.04
889.00,2,16,806.56,0.07
515.00,2,11,566.96,0.10
400.00,1,10,512.65,0.08
2421.00,4,25,1265.55,0.22
399.00,1,9,496.20,0.05
340.00,1,9,457.27,0.04
